decile,count,actual_win_rate,average_market_probability,average_model_probability
0,37,0.2702702702702703,0.21728564468143036,0.4445737971684213
1,37,0.32432432432432434,0.316170054559744,0.4465970188847163
2,36,0.2777777777777778,0.3775641124829762,0.4607420596767848
3,37,0.32432432432432434,0.45227518385190046,0.4997200080208815
4,37,0.5135135135135135,0.5274441786811043,0.542082641680212
5,36,0.6388888888888888,0.5846616437679274,0.5176641004613711
6,37,0.5405405405405406,0.6401076219181382,0.5621136962532389
7,36,0.7777777777777778,0.6926832758322111,0.5823802180321853
8,37,0.8378378378378378,0.7460497644663195,0.5783078098451514
9,37,0.8918918918918919,0.8359884125319988,0.597166523328111
