decile,count,actual_win_rate,average_model_probability,average_market_probability
0,37,0.35135135135135137,0.34706115081384586,0.36499148279981364
1,37,0.2702702702702703,0.41986054290553243,0.39386758329838933
2,36,0.5,0.45800326915375184,0.4988953636537043
3,37,0.5675675675675675,0.48696599310734384,0.5363901369901813
4,37,0.43243243243243246,0.5113804309609722,0.48592370659513884
5,36,0.5833333333333334,0.5320570762977908,0.5859598274668542
6,37,0.5405405405405406,0.5566399740348882,0.5708799434719725
7,36,0.5833333333333334,0.5875868476025958,0.5866376207551885
8,37,0.8108108108108109,0.6277093847271249,0.6549251421591196
9,37,0.7567567567567568,0.7045389014467901,0.7122072958480541
