feature,coefficient,abs_coefficient
diff_age,-0.29462635387353425,0.29462635387353425
diff_total_losses,-0.1741828703600063,0.1741828703600063
diff_td_landed_per_fight,0.13630014694322304,0.13630014694322304
diff_total_wins,0.1294500700115814,0.1294500700115814
diff_avg_fight_duration_seconds,0.1235498870381352,0.1235498870381352
diff_win_streak,0.11059594642059334,0.11059594642059334
diff_decision_rate,-0.10845936046961215,0.10845936046961215
diff_kd_absorbed_per_fight,-0.1062024975983338,0.1062024975983338
diff_reach,0.07460349822822018,0.07460349822822018
pre_fight_red_late_finish_rate,-0.07168959505775098,0.07168959505775098
diff_sig_strike_accuracy,0.037951528941674965,0.037951528941674965
diff_five_round_experience,-0.00044277141030677695,0.00044277141030677695
