removed_feature,feature_count_after_drop,log_loss,roc_auc,brier_score,accuracy,delta_log_loss,delta_roc_auc,delta_brier_score,delta_accuracy
diff_age,26,0.6721097244795134,0.6239151256170338,0.23976515973484228,0.5872769588828549,0.00669063102363765,-0.013630000736756909,0.00301911559730611,-0.014740108611326574
diff_win_streak,26,0.6666960394190503,0.6375647732016996,0.23737026386806706,0.5942591155934833,0.001276945963174514,1.964684790889404e-05,0.000624219730530895,-0.007757951900698168
diff_total_losses,26,0.6665655157197736,0.6359488199611975,0.23723672924557587,0.6012412723041117,0.0011464222638978283,-0.0015963063925932275,0.0004906851080397068,-0.0007757951900697613
diff_total_wins,26,0.6661001608049261,0.6345686288956016,0.23699284542716864,0.6051202482544609,0.0006810673490502683,-0.0029764974581890646,0.0002468012896324756,0.003103180760279378
diff_kd_absorbed_per_fight,26,0.6660898815966176,0.6361502001522631,0.2369950939405704,0.6012412723041117,0.0006707881407418403,-0.001394926201527591,0.00024904980303422364,-0.0007757951900697613
diff_win_pct,26,0.6659242894006654,0.6370760578599671,0.23698249532713572,0.6058960434445306,0.0005051959447895937,-0.00046906849382355453,0.0002364511895995569,0.0038789759503491394
diff_sig_strike_accuracy,26,0.6659018690576368,0.6385692183010387,0.23695202213436048,0.6012412723041117,0.00048277560176102075,0.0010240919472480625,0.00020597799682431361,-0.0007757951900697613
diff_fights_per_year,26,0.665865082382998,0.6365676956703259,0.23693614970134927,0.6004654771140419,0.0004459889271222206,-0.0009774306834647861,0.00019010556381310328,-0.0015515903801396336
diff_kd_efficiency_plain,26,0.6657236565241785,0.6374002308504629,0.23688805628556112,0.6020170674941815,0.0003045630683027323,-0.0001448955033277466,0.00014201214802495032,0.0
diff_sig_strikes_landed_per_fight,26,0.6656269586757533,0.6364547262948501,0.23685818900446773,0.6012412723041117,0.00020786521987747886,-0.001090400058940566,0.00011214486693156278,-0.0007757951900697613
diff_td_defense,26,0.6655525545434109,0.6379552543038877,0.23678112695867318,0.6020170674941815,0.00013346108753509167,0.00041012795009698344,3.508282113701133e-05,0.0
diff_power_index,26,0.6655243835972097,0.6375868759055969,0.2367946264865346,0.6020170674941815,0.00010529014133386916,4.1749551806247176e-05,4.858234899843272e-05,0.0
diff_sub_att_per_fight,26,0.6655085455406977,0.6375819641936197,0.2367905479889593,0.6035686578743211,8.945208482191713e-05,3.683783982899591e-05,4.450385142312774e-05,0.0015515903801396336
diff_avg_past_opponent_total_wins,26,0.665497565951692,0.6374788182420983,0.23678686546567912,0.6012412723041117,7.8472495816162e-05,-6.630811169239248e-05,4.0821328142953694e-05,-0.0007757951900697613
diff_td_accuracy,26,0.665448882519291,0.6373830398585427,0.2367341427378733,0.604344453064391,2.9789063415219807e-05,-0.00016208649524795948,-1.1901399662866963e-05,0.002327385570209506
pre_fight_ko_loss_rate_diff,26,0.665444599872289,0.637579508337631,0.2367576273683173,0.6012412723041117,2.550641641319018e-05,3.438198384031477e-05,1.1583230781125886e-05,-0.0007757951900697613
pre_fight_kd_absorbed_efficiency_diff,26,0.6654339048500099,0.6375942434735626,0.2367525103199188,0.6020170674941815,1.4811394134062184e-05,4.911711977195754e-05,6.46618238264729e-06,0.0
diff_height,26,0.6654262037124496,0.6376998452810727,0.23675145778185155,0.6012412723041117,7.1102565738501156e-06,0.00015471892728202707,5.413644315388488e-06,-0.0007757951900697613
diff_ko_rate,26,0.665421540520682,0.6377317714089246,0.23674870627458094,0.6012412723041117,2.4470648062324685e-06,0.00018664505513388274,2.6621370447788006e-06,-0.0007757951900697613
diff_durability_index,26,0.6654197325302186,0.6376826542891525,0.2367463352292455,0.6020170674941815,6.39074342778656e-07,0.00013752793536181418,2.910917093479348e-07,0.0
diff_loss_streak,26,0.6654103397850478,0.6377219479849702,0.23674163041996973,0.6012412723041117,-8.753670827976734e-06,0.00017682163117949123,-4.4137175664316075e-06,-0.0007757951900697613
diff_reach,26,0.6653413302321406,0.6376065227535057,0.23669215303479138,0.5996896819239721,-7.77632237352055e-05,6.139639971503019e-05,-5.389110274478526e-05,-0.002327385570209395
diff_opponent_adjusted_power,26,0.6649458960579343,0.6392617696898253,0.236539978690814,0.6027928626842514,-0.00047319739794149385,0.0017166433360346067,-0.00020606544672216454,0.0007757951900698723
diff_avg_past_opponent_win_pct,26,0.6649295096643895,0.6391242417544636,0.23649774342171395,0.6051202482544609,-0.0004895837914863366,0.0015791154006729036,-0.0002483007158222139,0.003103180760279378
diff_years_in_ufc,26,0.6648920932618696,0.637449347970235,0.23651314437214904,0.6035686578743211,-0.0005270001940061997,-9.577838355567803e-05,-0.00023289976538712343,0.0015515903801396336
diff_td_landed_per_fight,26,0.6640926624780988,0.6457943466195142,0.23611867790953542,0.5981380915438325,-0.00132643097777696,0.0082492202657235,-0.0006273662280007475,-0.0038789759503490284
diff_ctrl_seconds_per_fight,26,0.663602585248997,0.6423315896755813,0.2359007670519548,0.6051202482544609,-0.0018165082068788418,0.004786463321790668,-0.000845277085581353,0.003103180760279378
