source,rows,unique_fights,missing_odds_count,start_date,end_date
zewnetrzne,6299,6185,453,2010-03-21,2024-12-07
Grosvenor,9738,795,0,2025-07-26,2026-06-15
LeoVegas,9738,795,0,2025-07-26,2026-06-15
BetOnline.ag,11036,746,0,2025-07-26,2027-07-02
LeoVegas (SE),5266,685,0,2025-09-13,2026-06-15
Unibet (SE),5266,685,0,2025-09-13,2026-06-15
Unibet (NL),7045,665,0,2025-07-26,2026-06-15
FanDuel,7435,500,0,2025-07-26,2026-06-15
DraftKings,7776,416,0,2025-07-26,2027-01-01
Bovada,2452,408,0,2025-10-10,2026-04-26
Paddy Power,7201,405,0,2025-07-26,2026-06-15
Pinnacle,5962,396,0,2025-07-26,2026-06-15
BetRivers,6368,385,0,2025-07-26,2026-06-15
Virgin Bet,5316,382,0,2025-07-26,2026-06-15
LiveScore Bet,5315,382,0,2025-07-26,2026-06-15
Betsson,6388,371,0,2025-07-26,2026-06-15
Coolbet,4615,370,0,2025-07-26,2026-06-15
Nordic Bet,6348,368,0,2025-07-26,2026-06-15
BetMGM,5930,360,0,2025-07-26,2026-06-15
Betfair,5175,358,0,2025-07-26,2026-06-15
Betfair Sportsbook,3029,304,0,2025-07-26,2026-04-26
Unibet,5350,303,0,2025-07-26,2025-12-31
BetUS,3534,278,0,2025-07-26,2026-05-03
BetAnything,1928,277,0,2025-10-04,2026-06-15
Betway,4074,270,0,2025-07-26,2026-05-03
William Hill,1821,261,0,2025-10-03,2026-04-26
Unibet (UK),2397,237,0,2025-11-01,2026-06-15
Matchbook,1461,213,0,2025-07-26,2026-04-26
888sport,2943,199,0,2025-07-26,2026-06-15
Betclic (FR),2610,179,0,2025-07-26,2026-05-10
Unibet (FR),3642,155,0,2025-07-26,2026-05-10
efortuna,150,150,0,2025-03-08,2025-07-19
UNKNOWN_SOURCE,684,108,0,2025-09-13,2026-01-01
BetAnySports,2250,90,0,2025-07-26,2025-09-28
Marathon Bet,1120,55,0,2025-07-26,2026-06-15
Everygame,1201,35,0,2025-08-02,2025-09-06
PMU (FR),108,26,0,2026-04-05,2026-06-15
