event_date,fighter_1,fighter_2,fighter_1_odds,fighter_2_odds,source
2020-11-28,Jonathan Pearce,Kai Kamaka,3.45,1.2985074626865671,zewnetrzne
2021-05-01,Kai Kamaka,TJ Brown,1.617283950617284,2.42,zewnetrzne
2021-09-18,Rongzhu,Brandon Jenkins,,2.95,zewnetrzne
2022-02-05,Alexis Davis,Julija Stoliarenko,,,zewnetrzne
2022-02-05,Chidi Njokuani,Marc-Andre Barriault,,,zewnetrzne
2022-02-05,Jailton Almeida,Danilo Marques,,,zewnetrzne
2022-02-05,Malcolm Gordon,Denys Bondar,,,zewnetrzne
2022-02-05,Hakeem Dawodu,Michael Trizano,,,zewnetrzne
2022-02-05,Jason Witt,Phil Rowe,,,zewnetrzne
2022-02-05,Miles Johns,John Castaneda,,,zewnetrzne
2022-02-12,Jeremiah Wells,Blood Diamond,1.4166666666666667,,zewnetrzne
2022-02-26,Rongzhu,Ignacio Bahamondes,,1.4761904761904765,zewnetrzne
2022-03-12,Marlon Moraes,Song Yadong,3.3,,zewnetrzne
2022-03-19,Paddy Pimblett,Kazula Vargas,1.131578947368421,,zewnetrzne
2022-04-16,Alatengheili,Kevin Croom,,2.55,zewnetrzne
2022-04-16,Mayra Bueno Silva,Wu Yanan,1.1739130434782608,,zewnetrzne
2022-06-11,Ramona Pascual,Joselyne Edwards,,,zewnetrzne
2022-06-11,Liang Na,Silvana Gomez Juarez,,,zewnetrzne
2022-08-20,Daniel Lacerda,Victor Altamirano,,1.606060606060606,zewnetrzne
2022-11-12,Carla Esparza,Zhang Weili,,,zewnetrzne
2022-11-12,Dustin Poirier,Michael Chandler,,,zewnetrzne
2022-12-10,Bryce Mitchell,Ilia Topuria,,,zewnetrzne
2023-02-11,Shane Young,Blake Bilder,,,zewnetrzne
2023-02-11,Zubaira Tukhugov,Elves Brener,,,zewnetrzne
2023-03-04,Esteban Ribovics,Loik Radzhabov,1.5128205128205128,,zewnetrzne
