fold_id,calibration_year,test_year,raw_blend_weight,raw_blend_calibration_log_loss,sigmoid_blend_weight,sigmoid_blend_calibration_log_loss,isotonic_blend_weight,isotonic_blend_calibration_log_loss
1,2012,2013,0.1,0.6255856538986541,0.1,0.6250290354520559,0.3,0.6184579173127616
2,2013,2014,0.0,0.5927691981198775,0.0,0.5927691981198775,0.0,0.5927691981198775
3,2014,2015,0.1,0.6107059147089527,0.2,0.6083515456885151,0.3,0.6032312011434643
4,2015,2016,0.1,0.6328749071307087,0.2,0.6327264843906515,0.3,0.6277882469642336
5,2016,2017,0.0,0.634800149394917,0.0,0.634800149394917,0.2,0.6321153600125651
6,2017,2018,0.1,0.6152833497374964,0.1,0.6149549934229783,0.3,0.6089674669238528
7,2018,2019,0.0,0.6017646700080505,0.0,0.6017646700080505,0.0,0.6017646700080505
8,2019,2020,0.0,0.6279753581980712,0.0,0.6279753581980712,0.2,0.6268956134676926
9,2020,2021,0.0,0.6141548297623342,0.1,0.613388072458038,0.3,0.6082013114084767
10,2021,2022,0.2,0.6418292617002462,0.3,0.6415764008886732,0.5,0.632893535545608
11,2022,2023,0.0,0.5975001500538312,0.0,0.5975001500538312,0.3,0.5934158458373575
