model_name,probability_bin,rows,mean_predicted_probability,observed_red_win_rate
market_novig,0,404,0.2590923243512688,0.25495049504950495
market_novig,1,403,0.36154533144834405,0.3920595533498759
market_novig,2,403,0.42389897231837065,0.47890818858560796
market_novig,3,403,0.4849699495406636,0.5136476426799007
market_novig,4,404,0.5473294296777841,0.551980198019802
market_novig,5,403,0.5937239557824204,0.5806451612903226
market_novig,6,403,0.6383320420988186,0.6327543424317618
market_novig,7,403,0.6873857001426666,0.7022332506203474
market_novig,8,403,0.7437366850186334,0.7741935483870968
market_novig,9,404,0.8249072655854951,0.8589108910891089
rf_raw,0,404,0.33667756653256126,0.4603960396039604
rf_raw,1,403,0.4108246193538399,0.4665012406947891
rf_raw,2,403,0.4515537732120147,0.4987593052109181
rf_raw,3,403,0.48387394616333756,0.5012406947890818
rf_raw,4,404,0.5125341894196295,0.5767326732673267
rf_raw,5,403,0.5420450899942971,0.6054590570719603
rf_raw,6,403,0.5754664986642362,0.6476426799007444
rf_raw,7,403,0.6123705330048088,0.6153846153846154
rf_raw,8,403,0.6530224558201982,0.6823821339950372
rf_raw,9,404,0.7256727898323861,0.6856435643564357
rf_sigmoid,0,404,0.4094728426626986,0.42574257425742573
rf_sigmoid,1,403,0.488412180868178,0.4813895781637717
rf_sigmoid,2,403,0.5215720036227368,0.4987593052109181
rf_sigmoid,3,403,0.54658527904249,0.575682382133995
rf_sigmoid,4,404,0.5684948426731022,0.5841584158415841
rf_sigmoid,5,403,0.5899567736128861,0.5607940446650124
rf_sigmoid,6,403,0.6131375602688498,0.6377171215880894
rf_sigmoid,7,403,0.635470572148205,0.6625310173697271
rf_sigmoid,8,403,0.6633707547276471,0.6401985111662531
rf_sigmoid,9,404,0.7186124550871178,0.6732673267326733
rf_isotonic,0,404,0.33406616201658357,0.4183168316831683
rf_isotonic,1,403,0.4631531866339778,0.4987593052109181
rf_isotonic,2,403,0.4946025881338995,0.5136476426799007
rf_isotonic,3,403,0.5349391213624073,0.5384615384615384
rf_isotonic,4,404,0.5721467559373005,0.599009900990099
rf_isotonic,5,403,0.5994621040036556,0.5632754342431762
rf_isotonic,6,403,0.628215316449998,0.6203473945409429
rf_isotonic,7,403,0.6501991534229438,0.6650124069478908
rf_isotonic,8,403,0.6980999932094887,0.6501240694789082
rf_isotonic,9,404,0.7843141821695943,0.6732673267326733
rf_raw_market_blend,0,404,0.2693274392529412,0.25495049504950495
rf_raw_market_blend,1,403,0.367639467378215,0.37220843672456577
rf_raw_market_blend,2,403,0.42796758600328755,0.49627791563275436
rf_raw_market_blend,3,403,0.4862931046567239,0.5136476426799007
rf_raw_market_blend,4,404,0.5455297284669848,0.5495049504950495
rf_raw_market_blend,5,403,0.5907112517944701,0.5880893300248139
rf_raw_market_blend,6,403,0.6339432825290996,0.630272952853598
rf_raw_market_blend,7,403,0.6808433129217998,0.707196029776675
rf_raw_market_blend,8,403,0.7361968840743663,0.7741935483870968
rf_raw_market_blend,9,404,0.8140331573409044,0.8539603960396039
rf_sigmoid_market_blend,0,404,0.27911270078851136,0.25
rf_sigmoid_market_blend,1,403,0.3772502162845937,0.3920595533498759
rf_sigmoid_market_blend,2,403,0.43620921550031505,0.4739454094292804
rf_sigmoid_market_blend,3,403,0.49310159936254083,0.5161290322580645
rf_sigmoid_market_blend,4,404,0.5490566407306171,0.5618811881188119
rf_sigmoid_market_blend,5,403,0.5924580881636146,0.5806451612903226
rf_sigmoid_market_blend,6,403,0.6347083831353343,0.630272952853598
rf_sigmoid_market_blend,7,403,0.6798551511216272,0.7022332506203474
rf_sigmoid_market_blend,8,403,0.7342639061421147,0.7741935483870968
rf_sigmoid_market_blend,9,404,0.8105260272634469,0.8589108910891089
rf_isotonic_market_blend,0,404,0.29891726420584097,0.2698019801980198
rf_isotonic_market_blend,1,403,0.3965542760706535,0.40198511166253104
rf_isotonic_market_blend,2,403,0.4522181331263754,0.41687344913151364
rf_isotonic_market_blend,3,403,0.5049434850160357,0.5359801488833746
rf_isotonic_market_blend,4,404,0.5516174284958585,0.5767326732673267
rf_isotonic_market_blend,5,403,0.5929129015329174,0.5781637717121588
rf_isotonic_market_blend,6,403,0.6325334903651167,0.6352357320099256
rf_isotonic_market_blend,7,403,0.6736289181114017,0.7121588089330024
rf_isotonic_market_blend,8,403,0.7223091142255016,0.771712158808933
rf_isotonic_market_blend,9,404,0.7995942863267019,0.8415841584158416
